angle,v1x,v1y,v2x,v2y,angle_v1v2
3.95,55.865307331400004,59.8556864265,-59.8556864265,55.865307331400004,90.0
12.68,15.9615163804,19.951895475500002,-19.951895475500002,15.9615163804,90.0
13.42,67.8364446167,7.9807581902,-7.9807581902,67.8364446167,90.0
14.25,31.9230327608,3.9903790951,-3.9903790951,31.9230327608,90.0
16.26,11.971137285300001,15.9615163804,-15.9615163804,11.971137285300001,90.0
20.61,43.8941700461,7.9807581902,-7.9807581902,43.8941700461,90.0
22.62,7.9807581902,11.971137285300001,-11.971137285300001,7.9807581902,90.0
